"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2577161;447513;2;3;0;1;2;0;3;261;13036;"6М1 Салават зак";25000;"";21001;"Термообработка";34;2530;0.234;5;"21.11.2023";2
2577161;447513;2;4;0;1;3;0;3;348;33208;"8 Standart ST зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.189;4;"20.11.2023";2
2577161;447513;2;4;0;1;3;0;3;348;33208;"8 Standart ST зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.245;4;"21.11.2023";1
2577161;447513;2;4;0;1;3;0;3;348;33208;"8 Standart ST зак";25000;"";21001;"Термообработка";34;2530;0.338;5;"21.11.2023";2
2577161;447513;3;5;0;1;0;1;3;0;518;"";40000;"";"";"Гнутье рамки";47;4000;0.1;0.1;"21.11.2023";1
2577161;447513;3;6;0;1;0;2;3;0;526;"";40000;"";"";"Гнутье рамки";47;4000;0.1;0.1;"21.11.2023";1
2577161;447514;1;1;2;0;0;0;1;233;"";"";50000;6100;"";"Сборка специальных с\п";49;5050;0.263;5;"22.11.2023";1
2577161;447514;1;1;2;0;0;0;1;233;"";"";6100;55000;50000;"Сушка пакетов";52;601;0.001;0;"22.11.2023";2
2577161;447514;1;1;2;0;0;0;1;233;"";"";55000;60000;6100;"Ящик";53;5500;0.001;0;"24.11.2023";1
2577161;447514;1;1;2;0;0;0;1;233;"";"";60000;70000;55000;"Упаковка прочая";54;6000;0.001;0;"24.11.2023";1
2577161;447514;1;1;2;0;0;0;1;233;"";"";70000;"";60000;"Погрузка";55;7000;0.006;0.016;"26.11.2023";1
2577161;447514;2;2;0;1;1;0;1;106;43670;"10 LartaPro HP Silver 35/26 ростов зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.082;4;"21.11.2023";1
2577161;447514;2;2;0;1;1;0;1;106;43670;"10 LartaPro HP Silver 35/26 ростов зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.082;4;"21.11.2023";1
2577161;447514;2;2;0;1;1;0;1;106;43670;"10 LartaPro HP Silver 35/26 ростов зак";25000;"";21001;"Термообработка";34;2530;0.113;5;"21.11.2023";2
2577161;447514;2;3;0;1;2;0;1;63;13036;"6М1 Салават зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.046;4;"21.11.2023";1
2577161;447514;2;3;0;1;2;0;1;63;13036;"6М1 Салават зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.054;4;"21.11.2023";1
2577161;447514;2;3;0;1;2;0;1;63;13036;"6М1 Салават зак";25000;"";21001;"Термообработка";34;270;0.156;5;"21.11.2023";2
2577161;447514;2;4;0;1;3;0;1;63;33206;"6 Standart ST зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.082;4;"21.11.2023";1
2577161;447514;2;4;0;1;3;0;1;63;33206;"6 Standart ST зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.054;4;"21.11.2023";1
2577161;447514;2;4;0;1;3;0;1;63;33206;"6 Standart ST зак";25000;"";21001;"Термообработка";34;2520;0.068;5;"21.11.2023";2
2577161;447514;3;5;0;1;0;1;1;0;526;"";40000;"";"";"Гнутье рамки";47;4000;0.044;0.04;"22.11.2023";1
2577161;447514;3;6;0;1;0;2;1;0;514;"";40000;"";"";"Гнутье рамки";47;4000;0.044;0.04;"22.11.2023";1
2577161;447515;1;1;2;0;0;0;20;3548;"";"";50000;55000;"";"Сборка специальных с\п";49;5050;1.748;5;"22.11.2023";1
2577161;447515;1;1;2;0;0;0;20;3548;"";"";55000;60000;50000;"Ящик";52;5500;0.011;0.016;"22.11.2023";2
2577161;447515;1;1;2;0;0;0;20;3548;"";"";60000;70000;55000;"Упаковка прочая";53;6000;0.028;4;"22.11.2023";2
2577161;447515;1;1;2;0;0;0;20;3548;"";"";70000;"";60000;"Погрузка";54;7000;0.111;0.11;"24.11.2023";1
2577161;447515;2;2;0;1;1;0;20;1613;43761;"10 LartaPro HP Neutral 60/40 закрост";1110;21001;"";"Резка СП (закаленное стекло)";24;1005;0.749;4;"20.11.2023";2
2577161;447515;2;2;0;1;1;0;20;1613;43761;"10 LartaPro HP Neutral 60/40 закрост";21001;25000;1110;"МО Обработка кромки";25;2201;1.69;4;"21.11.2023";1
2577161;447515;2;2;0;1;1;0;20;1613;43761;"10 LartaPro HP Neutral 60/40 закрост";25000;"";21001;"Термообработка";34;2530;1.758;5;"21.11.2023";2
2577161;447515;2;3;0;1;2;0;20;968;13036;"6М1 Салават зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.699;4;"21.11.2023";1
2577161;447515;2;3;0;1;2;0;20;968;13036;"6М1 Салават зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.926;4;"21.11.2023";1
2577161;447515;2;3;0;1;2;0;20;968;13036;"6М1 Салават зак";25000;"";21001;"Термообработка";34;270;2.432;5;"21.11.2023";2
