CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1048;13.01.2024;2;0
1048;14.01.2024;1;11,98
1048;14.01.2024;2;0
1048;15.01.2024;1;11,98
1048;15.01.2024;2;0
1048;16.01.2024;1;11,98
1048;16.01.2024;2;0
1048;17.01.2024;1;11,98
1048;17.01.2024;2;0
1048;18.01.2024;1;11,98
1048;18.01.2024;2;0
1048;19.01.2024;1;11,98
1048;19.01.2024;2;0
1048;20.01.2024;1;11,98
1048;20.01.2024;2;0
1048;21.01.2024;1;11,98
1048;21.01.2024;2;0
1048;22.01.2024;1;11,98
1048;22.01.2024;2;0
1048;23.01.2024;1;11,98
1048;23.01.2024;2;0
1048;24.01.2024;1;11,98
1048;24.01.2024;2;0
1048;25.01.2024;1;11,98
1048;25.01.2024;2;0
1048;26.01.2024;1;11,98
1048;26.01.2024;2;0
1048;27.01.2024;1;11,98
1048;27.01.2024;2;0
1048;28.01.2024;1;11,98
1048;28.01.2024;2;0
1048;29.01.2024;1;11,98
1048;29.01.2024;2;0
1048;30.01.2024;1;11,98
1048;30.01.2024;2;0
1048;31.01.2024;1;11,98
1048;31.01.2024;2;0
1048;01.02.2024;1;11,98
1048;01.02.2024;2;0
1048;02.02.2024;1;11,98
1048;02.02.2024;2;0
1048;03.02.2024;1;11,98
1048;03.02.2024;2;0
1048;04.02.2024;1;11,98
1048;04.02.2024;2;0
1048;05.02.2024;1;11,98
1048;05.02.2024;2;0
1048;06.02.2024;1;11,98
1048;06.02.2024;2;0
1048;07.02.2024;1;11,98
1048;07.02.2024;2;0
